loc,title,bedroom,bathroom,parking_space,price
Lagos,Terrace duplex,5.0,2.0,2.0,3288872.924
Oyo,Penthouse,1.0,1.0,4.0,1942188.629
Bayelsa,Penthouse,6.0,4.0,1.0,4304251.783
Akwa Ibom,Townhouse,8.0,4.0,3.0,3651205.443
Katsina,Terrace duplex,2.0,2.0,2.0,1176208.821
Nasarawa,Penthouse,3.0,2.0,4.0,2282667.2
Imo,Cottage,4.0,2.0,2.0,1681764.497
Taraba,Terrace duplex,3.0,2.0,4.0,1414616.534
Plateau,Detached duplex,5.0,4.0,3.0,2194760.76
Ebonyi,Bungalow,4.0,1.0,3.0,1164013.668
Ogun,Terrace duplex,3.0,2.0,4.0,1915744.752
Zamfara,Townhouse,3.0,3.0,6.0,1478490.579
Akwa Ibom,Mansion,1.0,1.0,2.0,4854548.02
Edo,Townhouse,4.0,2.0,1.0,1914208.48
Katsina,Detached duplex,6.0,5.0,2.0,2435272.349
Gombe,Townhouse,1.0,1.0,4.0,1155051.234
Gombe,Bungalow,5.0,2.0,4.0,1046160.181
Jigawa,Apartment,2.0,1.0,5.0,932804.4099
Adamawa,Townhouse,5.0,2.0,6.0,2035306.456
Katsina,Terrace duplex,3.0,2.0,2.0,1572568.533
Taraba,Apartment,1.0,1.0,3.0,851628.1122
Akwa Ibom,Cottage,2.0,1.0,4.0,1421938.524
Benue,Apartment,1.0,1.0,3.0,753327.3973
Ogun,Mansion,3.0,2.0,2.0,5534701.662
Ebonyi,Penthouse,7.0,2.0,1.0,2569307.879
Kwara,Flat,3.0,2.0,4.0,1299915.571
Kebbi,Detached duplex,5.0,1.0,1.0,1812671.197
Niger,Semi-detached duplex,4.0,1.0,4.0,1510348.318
Bauchi,Mansion,1.0,1.0,4.0,2257035.549
Nasarawa,Detached duplex,2.0,2.0,4.0,1558451.837
Rivers,Detached duplex,2.0,1.0,2.0,2286189.639
Ondo,Mansion,7.0,7.0,6.0,5428317.668
Zamfara,Penthouse,2.0,2.0,3.0,1554252.127
Jigawa,Detached duplex,7.0,2.0,5.0,2374662.099
Zamfara,Apartment,6.0,6.0,6.0,1686066.92
Ondo,Townhouse,1.0,1.0,3.0,1403708.087
Oyo,Bungalow,5.0,2.0,4.0,1815370.041
Osun,Flat,6.0,5.0,3.0,2091907.562
Kogi,Apartment,1.0,1.0,4.0,835390.7699
Akwa Ibom,Penthouse,4.0,4.0,6.0,3382610.482
Cross River,Terrace duplex,6.0,6.0,3.0,2751998.167
Taraba,Penthouse,7.0,4.0,5.0,3080232.331
Ekiti,Detached duplex,7.0,4.0,2.0,2866908.901
Bauchi,Flat,3.0,2.0,2.0,1035597.211
Rivers,Mansion,5.0,1.0,3.0,6700031.092
Sokoto,Bungalow,3.0,1.0,2.0,1140815.2
Lagos,Detached duplex,2.0,2.0,2.0,5375883.488
Benue,Apartment,6.0,5.0,4.0,1839797.352
Nasarawa,Bungalow,2.0,2.0,4.0,1262008.87
Bauchi,Apartment,1.0,1.0,4.0,859588.754
Kebbi,Semi-detached duplex,2.0,1.0,2.0,1093672.541
Abia,Mansion,2.0,1.0,2.0,2397512.838
Rivers,Terrace duplex,3.0,1.0,1.0,1902844.038
Gombe,Townhouse,5.0,1.0,6.0,1996150.39
Ebonyi,Flat,2.0,1.0,1.0,927705.9386
Ogun,Terrace duplex,5.0,4.0,2.0,2510598.83
Plateau,Mansion,9.0,5.0,5.0,4917433.256
Enugu,Terrace duplex,5.0,5.0,2.0,2249337.211
Akwa Ibom,Mansion,3.0,1.0,2.0,2579888.753
Enugu,Mansion,3.0,2.0,3.0,1903266.467
Kaduna,Detached duplex,4.0,1.0,1.0,1679260.132
Benue,Mansion,4.0,1.0,1.0,1777742.028
Taraba,Detached duplex,5.0,5.0,4.0,2295089.136
Oyo,Flat,7.0,3.0,6.0,2506928.88
Bayelsa,Flat,2.0,2.0,4.0,1764947.635
Borno,Bungalow,5.0,4.0,4.0,1658328.554
Gombe,Mansion,1.0,1.0,3.0,1999740.541
Bayelsa,Apartment,5.0,4.0,2.0,2361903.557
Adamawa,Mansion,1.0,1.0,5.0,2197536.428
Gombe,Detached duplex,9.0,4.0,6.0,3199472.109
Cross River,Penthouse,1.0,1.0,2.0,2266226.358
Gombe,Penthouse,5.0,2.0,1.0,2328883.318
Ekiti,Detached duplex,6.0,1.0,5.0,2574133.803
Zamfara,Terrace duplex,6.0,5.0,4.0,1939755.465
Sokoto,Detached duplex,2.0,1.0,1.0,1215612.181
Akwa Ibom,Apartment,5.0,4.0,5.0,2293146.745
Abia,Terrace duplex,4.0,1.0,3.0,1416544.059
Sokoto,Townhouse,1.0,1.0,2.0,947019.0404
Nasarawa,Penthouse,5.0,2.0,5.0,2733525.334
Imo,Apartment,7.0,4.0,5.0,2123269.849
Kano,Flat,6.0,4.0,1.0,2033243.906
Kwara,Flat,7.0,6.0,2.0,2167618.863
Taraba,Townhouse,4.0,1.0,2.0,1515749.75
Ondo,Mansion,6.0,4.0,3.0,4593038.421
Oyo,Townhouse,5.0,4.0,4.0,2564012.387
Kano,Apartment,4.0,1.0,1.0,1410908.973
Kano,Detached duplex,3.0,2.0,3.0,2005182.405
Edo,Penthouse,9.0,2.0,3.0,3971795.648
Kano,Flat,4.0,4.0,2.0,1675628.597
Lagos,Townhouse,5.0,2.0,4.0,2672267.102
Ebonyi,Townhouse,4.0,2.0,3.0,1570088.075
Taraba,Terrace duplex,6.0,6.0,3.0,2127148.021
Ebonyi,Flat,3.0,2.0,5.0,1268670.226
Katsina,Flat,5.0,2.0,5.0,1696093.805
Kwara,Semi-detached duplex,5.0,5.0,6.0,1981831.817
Delta,Penthouse,9.0,2.0,2.0,4642589.355
Plateau,Penthouse,4.0,2.0,4.0,2240708.445
Rivers,Cottage,5.0,2.0,1.0,2381381.388
Adamawa,Apartment,8.0,5.0,5.0,2173697.98
Kwara,Flat,5.0,2.0,4.0,1554779.057
Ogun,Flat,4.0,1.0,4.0,1871181.19
Bauchi,Terrace duplex,5.0,1.0,2.0,1422552.744
Akwa Ibom,Penthouse,2.0,1.0,1.0,2581932.062
Edo,Flat,6.0,4.0,4.0,2224433.89
Yobe,Penthouse,4.0,1.0,2.0,1888667.617
Imo,Townhouse,9.0,2.0,6.0,3164277.636
Kwara,Apartment,2.0,1.0,3.0,1089773.075
Zamfara,Terrace duplex,3.0,2.0,3.0,1185715.919
Lagos,Terrace duplex,5.0,4.0,3.0,3713077.095
Benue,Detached duplex,6.0,2.0,3.0,2334685.685
Adamawa,Flat,2.0,1.0,5.0,1108391.159
Akwa Ibom,Mansion,6.0,4.0,2.0,5328119.443
Bauchi,Flat,4.0,2.0,2.0,1306452.805
Ebonyi,Mansion,9.0,5.0,1.0,4238630.0
Cross River,Mansion,1.0,1.0,3.0,3574961.893
Borno,Bungalow,3.0,2.0,2.0,1305270.675
Abia,Semi-detached duplex,2.0,1.0,3.0,1052497.035
Zamfara,Bungalow,2.0,1.0,1.0,872128.3932
Lagos,Terrace duplex,9.0,3.0,5.0,4794278.771
Rivers,Penthouse,4.0,2.0,4.0,3584388.997
Sokoto,Townhouse,3.0,3.0,5.0,1455718.026
Rivers,Detached duplex,1.0,1.0,2.0,1861988.531
Oyo,Flat,8.0,2.0,3.0,2609547.816
Kebbi,Penthouse,7.0,6.0,1.0,2747467.977
Kaduna,Flat,5.0,1.0,3.0,1473280.351
Anambra,Semi-detached duplex,4.0,1.0,3.0,1735963.592
Ebonyi,Penthouse,9.0,6.0,1.0,3219890.577
Enugu,Terrace duplex,3.0,3.0,1.0,1684125.315
Benue,Detached duplex,4.0,2.0,3.0,1885624.51
Zamfara,Flat,8.0,3.0,6.0,2137097.53
Niger,Apartment,9.0,5.0,4.0,2380374.558
Jigawa,Semi-detached duplex,1.0,1.0,4.0,954437.9597
Oyo,Detached duplex,7.0,1.0,4.0,3022971.41
Bayelsa,Terrace duplex,8.0,7.0,1.0,3898738.488
Taraba,Mansion,6.0,4.0,3.0,3783783.942
Sokoto,Terrace duplex,5.0,1.0,4.0,1434209.246
Delta,Cottage,2.0,2.0,2.0,1242831.67
Edo,Townhouse,1.0,1.0,4.0,1571902.992
Zamfara,Detached duplex,5.0,3.0,5.0,1988245.855
Imo,Cottage,2.0,1.0,3.0,1308148.774
Edo,Detached duplex,1.0,1.0,5.0,1555728.506
Ogun,Semi-detached duplex,8.0,3.0,6.0,3193614.115
Katsina,Semi-detached duplex,5.0,2.0,2.0,1596104.628
Plateau,Detached duplex,1.0,1.0,5.0,1473871.373
Oyo,Flat,1.0,1.0,1.0,1150941.141
Ebonyi,Detached duplex,2.0,1.0,4.0,1477937.692
Nasarawa,Mansion,1.0,1.0,6.0,2853936.556
Kogi,Flat,2.0,2.0,2.0,951888.7231
Bayelsa,Penthouse,3.0,2.0,3.0,3254501.634
Yobe,Mansion,5.0,3.0,4.0,3068541.319
Niger,Semi-detached duplex,3.0,2.0,1.0,1537539.401
Kwara,Townhouse,1.0,1.0,2.0,1087870.74
Lagos,Apartment,1.0,1.0,4.0,1755092.618
Benue,Townhouse,1.0,1.0,5.0,1307058.913
Bayelsa,Penthouse,2.0,2.0,1.0,2719253.037
Ogun,Penthouse,5.0,2.0,4.0,3551237.796
Delta,Flat,2.0,1.0,3.0,1494237.366
Kaduna,Detached duplex,5.0,1.0,1.0,1884518.725
Borno,Bungalow,8.0,2.0,2.0,2018598.073
Kwara,Apartment,1.0,1.0,5.0,881018.058
Kwara,Semi-detached duplex,6.0,5.0,6.0,2256081.269
Kwara,Detached duplex,2.0,1.0,2.0,1392473.561
Anambra,Townhouse,6.0,6.0,6.0,2871869.894
Delta,Detached duplex,1.0,1.0,6.0,2218924.069
Kwara,Bungalow,9.0,2.0,2.0,2460301.067
Cross River,Detached duplex,7.0,3.0,3.0,3378434.119
Nasarawa,Bungalow,7.0,1.0,6.0,2251036.604
Delta,Flat,2.0,1.0,3.0,1773534.959
Nasarawa,Detached duplex,4.0,2.0,4.0,2098599.514
Enugu,Apartment,6.0,1.0,4.0,1957485.84
Benue,Flat,3.0,2.0,4.0,1299915.571
Akwa Ibom,Flat,5.0,2.0,3.0,2176766.112
Kano,Townhouse,9.0,2.0,3.0,3076440.647
Yobe,Detached duplex,5.0,4.0,5.0,2138996.707
Zamfara,Townhouse,2.0,1.0,2.0,1335064.017
Ogun,Mansion,6.0,2.0,3.0,4793075.218
Gombe,Penthouse,1.0,1.0,2.0,1017326.59
Kwara,Bungalow,4.0,1.0,3.0,1296674.622
Osun,Flat,2.0,1.0,3.0,1206418.489
Lagos,Flat,5.0,1.0,4.0,4966246.256
Kaduna,Mansion,1.0,1.0,2.0,2346775.611
Imo,Bungalow,5.0,1.0,1.0,1514339.597
Kwara,Detached duplex,5.0,1.0,1.0,1844382.014
Ondo,Flat,2.0,1.0,1.0,1242744.519
Sokoto,Penthouse,8.0,3.0,5.0,2967448.571
Oyo,Flat,3.0,2.0,6.0,1732817.569
Gombe,Flat,3.0,1.0,4.0,756684.772
Ogun,Penthouse,3.0,2.0,3.0,2973373.451
Borno,Apartment,4.0,3.0,3.0,1273911.504
Bauchi,Bungalow,1.0,1.0,2.0,936000.915
Katsina,Terrace duplex,4.0,1.0,4.0,1463509.856
Kano,Semi-detached duplex,8.0,4.0,3.0,2764645.778
Ekiti,Terrace duplex,6.0,5.0,4.0,2417043.481
Anambra,Terrace duplex,2.0,1.0,3.0,1613527.206
Cross River,Terrace duplex,5.0,1.0,2.0,2113754.075
Enugu,Apartment,5.0,4.0,2.0,1916529.012
Sokoto,Flat,3.0,1.0,1.0,1012416.417
Kebbi,Terrace duplex,2.0,1.0,6.0,1298995.338
Borno,Detached duplex,4.0,3.0,3.0,1755534.21
Oyo,Mansion,4.0,3.0,6.0,3952093.612
Rivers,Penthouse,5.0,5.0,4.0,3944554.799
Delta,Mansion,4.0,4.0,6.0,4785506.734
Zamfara,Flat,4.0,1.0,2.0,1152966.446
Katsina,Flat,3.0,2.0,1.0,1331428.27
Adamawa,Flat,1.0,1.0,4.0,922707.2711
Gombe,Semi-detached duplex,4.0,2.0,6.0,1675417.27
Yobe,Terrace duplex,7.0,2.0,4.0,2020608.451
Rivers,Townhouse,1.0,1.0,1.0,1720385.481
Kaduna,Terrace duplex,7.0,7.0,2.0,2462479.358
Yobe,Apartment,8.0,4.0,5.0,1973148.761
Ekiti,Terrace duplex,9.0,1.0,6.0,2895362.198
Bauchi,Townhouse,7.0,4.0,4.0,2263881.135
Akwa Ibom,Semi-detached duplex,5.0,2.0,1.0,2363314.518
Abia,Semi-detached duplex,8.0,4.0,4.0,2298933.409
Adamawa,Semi-detached duplex,5.0,1.0,4.0,1560879.677
Kogi,Apartment,4.0,4.0,6.0,1434143.465
Kwara,Apartment,4.0,2.0,3.0,1285204.428
Lagos,Apartment,7.0,5.0,2.0,3411158.524
Gombe,Bungalow,3.0,2.0,3.0,1404206.516
Delta,Apartment,4.0,4.0,3.0,1870405.977
Ekiti,Flat,7.0,2.0,4.0,2286277.063
Katsina,Townhouse,2.0,2.0,3.0,1353085.902
Nasarawa,Bungalow,2.0,1.0,4.0,1249074.077
Katsina,Semi-detached duplex,6.0,2.0,2.0,1986186.185
Bayelsa,Penthouse,1.0,1.0,6.0,2676722.445
Delta,Penthouse,9.0,4.0,2.0,4947548.792
Benue,Mansion,5.0,4.0,6.0,3765656.696
Zamfara,Bungalow,7.0,3.0,4.0,1914258.723
Katsina,Detached duplex,4.0,2.0,2.0,1697565.706
Rivers,Semi-detached duplex,5.0,2.0,1.0,2391683.68
Edo,Townhouse,2.0,2.0,2.0,1596266.617
Adamawa,Terrace duplex,5.0,2.0,3.0,1829264.046
Bauchi,Bungalow,2.0,1.0,2.0,1071555.033
Jigawa,Townhouse,1.0,1.0,1.0,962436.7924
Gombe,Apartment,7.0,2.0,5.0,1905067.519
Niger,Penthouse,5.0,4.0,5.0,2733575.423
Ebonyi,Mansion,6.0,1.0,5.0,3270401.525
Adamawa,Terrace duplex,2.0,1.0,3.0,1056487.313
Ogun,Flat,4.0,3.0,5.0,2158239.575
Taraba,Penthouse,3.0,3.0,6.0,2076941.099
Adamawa,Mansion,7.0,5.0,2.0,4274975.175
Sokoto,Flat,3.0,1.0,4.0,1114262.498
Cross River,Mansion,4.0,3.0,3.0,3973041.099
Yobe,Townhouse,3.0,2.0,2.0,1535730.145
Bayelsa,Flat,3.0,2.0,2.0,2181645.632
Benue,Penthouse,2.0,2.0,1.0,1862116.593
Yobe,Bungalow,3.0,1.0,3.0,1122597.158
Bauchi,Detached duplex,4.0,3.0,2.0,1705434.594
Ondo,Bungalow,9.0,4.0,3.0,2909768.086
Cross River,Terrace duplex,1.0,1.0,3.0,1600943.284
Lagos,Bungalow,9.0,1.0,3.0,4269536.37
Oyo,Terrace duplex,2.0,1.0,1.0,1466868.065
Nasarawa,Flat,5.0,1.0,6.0,1840869.981
Kebbi,Townhouse,7.0,3.0,4.0,2252392.13
Niger,Flat,5.0,1.0,3.0,1513764.949
Nasarawa,Terrace duplex,1.0,1.0,4.0,1296175.414
Zamfara,Flat,9.0,7.0,4.0,2398756.965
Adamawa,Flat,2.0,2.0,2.0,1099910.133
Zamfara,Mansion,3.0,2.0,2.0,2674700.625
Benue,Apartment,4.0,3.0,1.0,1370462.5
Cross River,Flat,8.0,2.0,6.0,2880270.758
Niger,Townhouse,3.0,2.0,2.0,1667870.536
Bayelsa,Semi-detached duplex,7.0,4.0,3.0,3511743.204
Niger,Mansion,9.0,5.0,1.0,4719637.369
Osun,Terrace duplex,3.0,2.0,5.0,1685401.343
Benue,Bungalow,2.0,1.0,4.0,1275519.654
Lagos,Townhouse,3.0,1.0,1.0,4510700.117
Jigawa,Penthouse,1.0,1.0,5.0,1432662.471
Niger,Mansion,2.0,1.0,5.0,2791884.301
Benue,Bungalow,1.0,1.0,4.0,913457.308
Bayelsa,Detached duplex,8.0,4.0,1.0,4369849.883
Gombe,Detached duplex,5.0,3.0,4.0,2180317.44
Kaduna,Penthouse,2.0,2.0,3.0,1653934.668
Niger,Terrace duplex,2.0,1.0,3.0,1192502.329
Kogi,Mansion,5.0,1.0,2.0,1686762.452
Kwara,Detached duplex,3.0,2.0,1.0,1695247.237
Yobe,Mansion,1.0,1.0,4.0,1866453.795
Osun,Penthouse,5.0,1.0,3.0,2744995.036
Cross River,Semi-detached duplex,4.0,1.0,1.0,1837818.917
Kano,Mansion,1.0,1.0,3.0,1371527.481
Kogi,Detached duplex,8.0,4.0,3.0,2909157.398
Abia,Penthouse,3.0,3.0,4.0,1788913.145
Borno,Detached duplex,7.0,1.0,1.0,2236775.154
Cross River,Flat,8.0,4.0,5.0,2937785.75
Edo,Penthouse,7.0,3.0,4.0,3581166.097
Anambra,Terrace duplex,9.0,7.0,6.0,3384530.505
Ogun,Mansion,2.0,2.0,1.0,5038742.042
Osun,Terrace duplex,1.0,1.0,3.0,1112197.381
Yobe,Penthouse,2.0,2.0,1.0,1569540.093
Anambra,Penthouse,5.0,4.0,3.0,3263840.82
Plateau,Apartment,6.0,1.0,3.0,1657123.835
Benue,Terrace duplex,1.0,1.0,3.0,1206952.649
Sokoto,Bungalow,2.0,1.0,1.0,916290.7611
Kogi,Detached duplex,3.0,1.0,2.0,1594660.572
Katsina,Bungalow,5.0,4.0,3.0,1811076.828
Kwara,Penthouse,4.0,1.0,4.0,2135682.557
Plateau,Bungalow,1.0,1.0,5.0,1059577.337
Jigawa,Terrace duplex,2.0,1.0,3.0,1093487.63
Taraba,Townhouse,4.0,1.0,3.0,1679879.773
Ondo,Mansion,5.0,5.0,6.0,4503238.64
Edo,Mansion,9.0,3.0,4.0,5557472.01
Kwara,Apartment,3.0,2.0,3.0,1214016.099
Cross River,Apartment,9.0,5.0,2.0,2845973.878
Imo,Flat,7.0,6.0,4.0,2380392.505
Taraba,Bungalow,2.0,1.0,4.0,1087758.385
Imo,Bungalow,2.0,1.0,4.0,1172179.118
Gombe,Semi-detached duplex,8.0,6.0,4.0,2589094.963
Anambra,Semi-detached duplex,1.0,1.0,4.0,1418602.648
Bauchi,Apartment,3.0,2.0,2.0,1141028.588
Kebbi,Bungalow,2.0,1.0,6.0,1117017.956
Lagos,Semi-detached duplex,9.0,7.0,1.0,4894725.497
Imo,Penthouse,3.0,1.0,2.0,2060682.598
Cross River,Detached duplex,3.0,2.0,3.0,2209130.466
Ekiti,Cottage,4.0,1.0,1.0,1567714.067
Sokoto,Bungalow,3.0,2.0,2.0,1131788.361
Anambra,Townhouse,1.0,1.0,4.0,1568271.96
Jigawa,Townhouse,9.0,5.0,2.0,2643710.829
Niger,Mansion,1.0,1.0,4.0,1278656.314
Delta,Townhouse,5.0,1.0,1.0,2577359.127
Plateau,Flat,8.0,5.0,4.0,2313025.981
Edo,Townhouse,3.0,2.0,6.0,2055480.238
Ebonyi,Apartment,1.0,1.0,3.0,764388.5452
Kwara,Terrace duplex,9.0,4.0,1.0,2659102.725
Kogi,Cottage,1.0,1.0,4.0,613246.1308
Nasarawa,Cottage,3.0,1.0,3.0,1519172.309
Ogun,Detached duplex,9.0,1.0,5.0,3855397.612
Ogun,Cottage,2.0,1.0,4.0,1697474.729
Benue,Semi-detached duplex,7.0,1.0,6.0,2251036.604
Abia,Townhouse,7.0,7.0,6.0,2412210.912
Kogi,Detached duplex,3.0,1.0,4.0,1353332.682
Akwa Ibom,Mansion,3.0,2.0,3.0,2816405.87
Akwa Ibom,Mansion,2.0,2.0,3.0,3515817.726
Ogun,Mansion,8.0,2.0,3.0,5590058.73
Zamfara,Flat,5.0,1.0,2.0,1356944.621
Oyo,Townhouse,1.0,1.0,6.0,1453162.772
Lagos,Penthouse,2.0,2.0,1.0,2557691.984
Rivers,Penthouse,4.0,3.0,4.0,3774103.862
Anambra,Penthouse,3.0,2.0,2.0,2492669.411
Cross River,Apartment,1.0,1.0,4.0,1212449.543
Kano,Penthouse,7.0,1.0,3.0,3059611.44
Sokoto,Apartment,3.0,2.0,1.0,1077121.62
Borno,Detached duplex,7.0,3.0,3.0,2337200.388
Imo,Bungalow,2.0,1.0,4.0,1184339.873
Niger,Flat,7.0,1.0,3.0,1969353.361
Borno,Terrace duplex,1.0,1.0,1.0,872454.4576
Kogi,Townhouse,4.0,2.0,1.0,1693334.545
Yobe,Townhouse,2.0,1.0,2.0,1190044.049
Sokoto,Apartment,9.0,5.0,4.0,2159893.466
Bayelsa,Penthouse,7.0,5.0,3.0,4871457.875
Ogun,Flat,5.0,2.0,3.0,2146587.264
Imo,Bungalow,2.0,1.0,4.0,1321523.503
Rivers,Bungalow,3.0,1.0,1.0,1779073.992
Kogi,Cottage,4.0,2.0,1.0,1293095.887
Bayelsa,Mansion,6.0,5.0,1.0,6429057.733
Akwa Ibom,Apartment,3.0,2.0,4.0,1695393.053
Niger,Apartment,7.0,2.0,4.0,1886849.477
Kaduna,Apartment,4.0,2.0,1.0,1276453.859
Benue,Terrace duplex,8.0,1.0,3.0,2389469.471
Adamawa,Semi-detached duplex,9.0,2.0,4.0,2682314.595
Osun,Mansion,5.0,1.0,1.0,1982679.195
Katsina,Mansion,9.0,3.0,4.0,4719191.235
Lagos,Townhouse,3.0,1.0,3.0,5212645.35
Ondo,Mansion,1.0,1.0,5.0,3008494.743
Osun,Bungalow,5.0,4.0,4.0,1958619.947
Niger,Detached duplex,3.0,2.0,2.0,1637732.244
Niger,Mansion,7.0,6.0,2.0,4201024.784
Taraba,Bungalow,8.0,3.0,4.0,2292017.516
Enugu,Flat,2.0,1.0,5.0,1425159.748
Sokoto,Semi-detached duplex,3.0,2.0,5.0,1365620.282
Ebonyi,Terrace duplex,2.0,1.0,2.0,1003551.055
Benue,Semi-detached duplex,8.0,6.0,1.0,2518825.372
Kogi,Terrace duplex,7.0,7.0,4.0,2415632.964
Ogun,Terrace duplex,4.0,1.0,2.0,2116614.667
Benue,Apartment,9.0,4.0,1.0,2261875.101
Oyo,Semi-detached duplex,6.0,6.0,5.0,2610080.51
Edo,Detached duplex,5.0,2.0,3.0,2276836.337
Edo,Mansion,5.0,4.0,2.0,4441985.093
Ekiti,Terrace duplex,9.0,7.0,2.0,3027830.909
Kano,Detached duplex,2.0,1.0,2.0,1500521.448
Ogun,Townhouse,2.0,1.0,5.0,2009311.836
Ogun,Flat,1.0,1.0,1.0,1402429.637
Gombe,Bungalow,2.0,1.0,3.0,1049915.73
Benue,Bungalow,2.0,1.0,3.0,1223374.182
Kaduna,Apartment,5.0,2.0,6.0,1557718.409
Oyo,Flat,2.0,1.0,1.0,1282298.413
Sokoto,Terrace duplex,1.0,1.0,4.0,895664.289
Benue,Semi-detached duplex,4.0,1.0,4.0,1483492.828
Kogi,Penthouse,1.0,1.0,2.0,1360428.259
Imo,Flat,5.0,1.0,4.0,1794023.587
Kebbi,Apartment,9.0,6.0,5.0,2199817.343
Ondo,Bungalow,7.0,7.0,3.0,2585475.818
Katsina,Detached duplex,5.0,2.0,4.0,2054515.933
Kogi,Mansion,5.0,2.0,1.0,1742800.39
Osun,Semi-detached duplex,3.0,2.0,3.0,1804337.892
Bauchi,Terrace duplex,1.0,1.0,1.0,888948.8297
Kogi,Penthouse,2.0,1.0,4.0,1639318.535
Adamawa,Penthouse,3.0,2.0,4.0,2161982.741
Anambra,Cottage,1.0,1.0,2.0,1244028.863
Kebbi,Flat,4.0,4.0,3.0,1379489.339
Ogun,Semi-detached duplex,9.0,2.0,2.0,3329133.766
Ebonyi,Bungalow,3.0,2.0,4.0,1168224.446
Sokoto,Penthouse,7.0,4.0,4.0,2747200.884
Borno,Flat,5.0,1.0,1.0,1257401.82
Kebbi,Semi-detached duplex,6.0,3.0,5.0,1898579.959
Jigawa,Mansion,6.0,2.0,4.0,3248962.784
Rivers,Penthouse,2.0,2.0,2.0,2591040.507
Niger,Detached duplex,6.0,5.0,3.0,2463900.701
Ondo,Terrace duplex,4.0,3.0,5.0,2199494.976
Enugu,Detached duplex,1.0,1.0,3.0,1544115.072
Benue,Flat,2.0,1.0,2.0,1171228.71
Abia,Semi-detached duplex,8.0,1.0,4.0,2206427.204
Kano,Terrace duplex,6.0,6.0,2.0,2324695.771
Delta,Detached duplex,1.0,1.0,5.0,2111374.033
Kogi,Detached duplex,2.0,1.0,5.0,1552219.19
Akwa Ibom,Cottage,2.0,2.0,4.0,1809724.667
Zamfara,Apartment,5.0,2.0,2.0,1233613.059
Niger,Flat,9.0,7.0,1.0,2554463.47
Bauchi,Detached duplex,3.0,1.0,1.0,1340798.917
Imo,Terrace duplex,9.0,3.0,5.0,2948302.134
Zamfara,Townhouse,8.0,1.0,3.0,2321466.348
Ekiti,Apartment,1.0,1.0,1.0,930268.7231
Niger,Terrace duplex,6.0,2.0,2.0,1986186.185
Benue,Mansion,1.0,1.0,1.0,2757002.641
Ogun,Penthouse,2.0,1.0,1.0,2309660.034
Jigawa,Flat,1.0,1.0,3.0,871991.2195
Ekiti,Mansion,5.0,1.0,4.0,2084624.447
Yobe,Penthouse,9.0,6.0,2.0,3249494.896
Bayelsa,Detached duplex,5.0,1.0,1.0,3432494.176
Sokoto,Apartment,1.0,1.0,5.0,851546.4508
Kwara,Bungalow,6.0,5.0,1.0,1899404.55
Akwa Ibom,Semi-detached duplex,2.0,1.0,2.0,1905319.581
Yobe,Flat,7.0,4.0,5.0,1959886.011
Kebbi,Penthouse,2.0,1.0,4.0,1614802.187
Nasarawa,Apartment,3.0,1.0,3.0,1232123.482
Edo,Bungalow,1.0,1.0,4.0,1136328.034
Imo,Apartment,2.0,1.0,6.0,1113982.928
Enugu,Penthouse,4.0,3.0,2.0,2770470.129
Enugu,Apartment,1.0,1.0,4.0,1094188.834
Bayelsa,Mansion,4.0,4.0,4.0,5093245.697
Rivers,Apartment,1.0,1.0,3.0,1453346.981
Enugu,Townhouse,5.0,4.0,5.0,2498654.441
Akwa Ibom,Penthouse,1.0,1.0,4.0,2401402.346
Kwara,Townhouse,9.0,5.0,5.0,3000975.7
Edo,Terrace duplex,1.0,1.0,2.0,1362795.59
Akwa Ibom,Mansion,4.0,1.0,4.0,4302375.458
Zamfara,Bungalow,1.0,1.0,1.0,808145.8891
Cross River,Apartment,5.0,4.0,6.0,2164046.516
Gombe,Mansion,9.0,1.0,5.0,4619847.157
Bayelsa,Bungalow,2.0,1.0,2.0,1637886.385
Kogi,Mansion,2.0,2.0,4.0,2444849.231
Yobe,Apartment,1.0,1.0,4.0,715690.213
Ogun,Semi-detached duplex,9.0,2.0,1.0,3232513.078
Oyo,Mansion,9.0,7.0,4.0,6053077.062
Taraba,Semi-detached duplex,6.0,5.0,5.0,2162177.154
Niger,Detached duplex,6.0,2.0,3.0,2391942.389
Edo,Semi-detached duplex,2.0,1.0,3.0,1378766.918
Taraba,Townhouse,7.0,3.0,3.0,2428851.556
Kogi,Penthouse,5.0,4.0,2.0,2479366.246
Lagos,Semi-detached duplex,3.0,1.0,5.0,2739867.663
Kaduna,Detached duplex,2.0,2.0,4.0,1549323.496
Oyo,Terrace duplex,7.0,5.0,6.0,2826794.224
Yobe,Bungalow,4.0,1.0,5.0,1333697.685
Kano,Semi-detached duplex,2.0,1.0,6.0,1586329.824
Oyo,Townhouse,3.0,1.0,1.0,1745983.9
Imo,Detached duplex,2.0,1.0,3.0,1523780.508
Cross River,Cottage,3.0,2.0,2.0,1816842.755
Rivers,Flat,6.0,3.0,4.0,2744498.379
Adamawa,Penthouse,2.0,2.0,3.0,1740882.99
Ekiti,Penthouse,7.0,3.0,2.0,3212205.627
Bauchi,Bungalow,4.0,2.0,3.0,1176264.86
Ebonyi,Townhouse,4.0,2.0,1.0,1443333.291
Ebonyi,Mansion,1.0,1.0,2.0,1101502.011
Lagos,Semi-detached duplex,9.0,2.0,6.0,4769167.089
Plateau,Townhouse,1.0,1.0,3.0,1215851.298
